name;b;S;CD0;K;Ta0;cT;Neng;CLmax_cl;CLmax_to;CLmax_ld;nlim;MMO;VMO;MTOM;MLM;MZFM;MPLM;MFM;OEM;
"A320-200";35.8;124.;0.018;0.039;236.;16.9;2;nan;nan;nan;2.5;0.82;180.056;73500;65000;61000;18000;24210;39733;
"b777-200";61.;427.8;0.024;0.047;753.;14.7;2;nan;nan;nan;2.5;0.89;169.767;247210;201840;190500;49850;171000;135600;
